CUSTKEY,NAME,ADDRESS,NATIONKEY,PHONE,ACCTBAL,MKTSEGMENT,COMMENT,ORDERKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,PARTKEY,SUPPKEY,LINENUMBER,QUANTITY,EXTENDEDPRICE,DISCOUNT,TAX,RETURNFLAG,LINESTATUS,SHIPDATE,COMMITDATE,RECEIPTDATE,SHIPINSTRUCT,SHIPMODE,REVENUE1,REVENUE2,REGIONKEY,REGION_NAME,REGION_COMMENT
1070,Customer#000001070,m0sYmeYs5wLydSS qw542Et32,15,25-894-843-9171,3160.23,FURNITURE, carefully across the express foxes. carefully special accounts ca,293827,O,194955.85,859593600.0,5-LOW,Clerk#000000009,0,15781,784,6,9,15271.02,0.04,0.07,N,O,860630400.0,862963200.0,860976000.0,COLLECT COD,SHIP,610.8408000000001,14660.1792,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
14825,Customer#000014825,Ji4FwsFcd7gCoTqjbD7dd2I7,15,25-650-452-6607,855.1,FURNITURE,the carefully unusual ideas cajole furiously e,283267,F,80161.43,710380800.0,1-URGENT,Clerk#000000395,0,80970,971,2,36,70234.92,0.06,0.0,A,F,715564800.0,717811200.0,716774400.0,TAKE BACK RETURN,SHIP,4214.0952,66020.82479999999,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
14701,Customer#000014701,g3bDmT91Jf5J6MYbrHrFaR,15,25-803-297-2929,1255.21,BUILDING,ake slyly. ironic excuses boost across the fluffily unusual theodolites. carefully ir,430372,F,323804.05,739152000.0,3-MEDIUM,Clerk#000000416,0,160523,524,6,41,64924.32,0.09,0.02,R,F,741571200.0,742003200.0,742694400.0,TAKE BACK RETURN,FOB,5843.1888,59081.1312,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
253,Customer#000000253,naGyIRPFPH E,15,25-461-140-9884,9139.52,AUTOMOBILE, regular deposits sleep against the accounts. foxes cajole carefully special ,307619,F,200116.65,728438400.0,5-LOW,Clerk#000000374,0,97950,460,4,4,7791.8,0.1,0.05,A,F,732585600.0,733881600.0,733622400.0,COLLECT COD,REG AIR,779.1800000000001,7012.62,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
11173,Customer#000011173,"Lee,zvy0NKkmtGQ19eDCCOwpOWHgRL n2sUvxUMM",15,25-154-388-4032,5099.96,AUTOMOBILE,ts. fluffily regular dolphins wake carefully. busily bold cour,357126,F,151660.97,758505600.0,5-LOW,Clerk#000000534,0,123265,802,5,7,9017.82,0.09,0.08,A,F,768614400.0,765417600.0,770601600.0,DELIVER IN PERSON,TRUCK,811.6038,8206.2162,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",15,25-147-850-4166,5121.28,MACHINERY,"es. packages haggle furiously. regular, special requests poach after the quickly express ideas. blithely pending re",139072,O,333329.84,873158400.0,5-LOW,Clerk#000000186,0,22912,419,6,24,44037.84,0.06,0.07,N,O,874540800.0,878428800.0,876441600.0,DELIVER IN PERSON,MAIL,2642.2704,41395.5696,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",15,25-147-850-4166,5121.28,MACHINERY,"es. packages haggle furiously. regular, special requests poach after the quickly express ideas. blithely pending re",400101,F,386849.27,754012800.0,1-URGENT,Clerk#000000009,0,8331,832,1,47,58248.51,0.08,0.06,R,F,764380800.0,756864000.0,765504000.0,DELIVER IN PERSON,SHIP,4659.8808,53588.6292,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",15,25-147-850-4166,5121.28,MACHINERY,"es. packages haggle furiously. regular, special requests poach after the quickly express ideas. blithely pending re",410595,F,207910.01,779587200.0,1-URGENT,Clerk#000000677,0,55508,519,2,33,48295.5,0.05,0.05,A,F,780710400.0,782870400.0,781833600.0,NONE,TRUCK,2414.775,45880.725,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
6053,Customer#000006053,Yzq6dtXjEfbY PEVyUkJ,15,25-363-543-1931,7102.91,MACHINERY,"r, ironic foxes. packages wake",41445,O,478080.61,823737600.0,4-NOT SPECIFIED,Clerk#000000411,0,95791,810,3,39,69684.81,0.04,0.01,N,O,825811200.0,826502400.0,827798400.0,TAKE BACK RETURN,RAIL,2787.3924,66897.4176,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
11453,Customer#000011453,ywzse4rNLHG,15,25-564-617-2282,-980.66,HOUSEHOLD,to beans haggle blithely slyly unusual ideas. furious,78049,F,247099.92,741225600.0,1-URGENT,Clerk#000000130,0,180451,452,1,46,70446.7,0.09,0.02,R,F,746064000.0,747619200.0,747187200.0,DELIVER IN PERSON,SHIP,6340.203,64106.497,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
3889,Customer#000003889,wYotB7FY5LlLV2JZQDj07FNaAetfYPTL1B,15,25-178-860-8721,529.6,AUTOMOBILE,"uests nag finally. final, pending ins",386790,O,130589.04,817862400.0,4-NOT SPECIFIED,Clerk#000000172,0,60485,486,2,11,15900.28,0.0,0.0,N,O,825379200.0,825292800.0,826070400.0,TAKE BACK RETURN,SHIP,0.0,15900.28,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
9847,Customer#000009847,JdV4tpzCjPYu,15,25-941-824-9832,5879.4,FURNITURE,uickly special epitaphs. slyly regular deposits nod above the furiously ironic accounts. slyly final foxes,419973,O,85333.19,830044800.0,4-NOT SPECIFIED,Clerk#000000187,0,78449,957,3,10,14274.4,0.04,0.08,N,O,836524800.0,834278400.0,838339200.0,DELIVER IN PERSON,FOB,570.976,13703.424,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
157,Customer#000000157,HGEouzCcFrNd nBAdsCRjsMxKOvYZdbwA7he5w9v,15,25-207-442-1556,9768.73,BUILDING, pinto beans against the carefully bold requests wake quickly alongside of the final accounts. accounts,262241,F,322135.6,766195200.0,3-MEDIUM,Clerk#000000500,0,105969,990,1,46,90848.16,0.04,0.05,R,F,771120000.0,772761600.0,771897600.0,DELIVER IN PERSON,TRUCK,3633.9264,87214.2336,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
3304,Customer#000003304,hSil64rIc2mQpHnJh6Pd5wlsHDloi5,15,25-461-139-2481,6671.05,FURNITURE,press packages. furiously final requests x-ray never acco,83750,F,216684.62,776131200.0,5-LOW,Clerk#000000632,0,107512,23,3,47,71416.97,0.0,0.06,R,F,782438400.0,779500800.0,783216000.0,NONE,FOB,0.0,71416.97,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
12929,Customer#000012929,kPKce1ahxQ7Ssw,15,25-955-379-1301,-764.76,HOUSEHOLD,"print deposits. final, special asymptotes cajole special accounts? ironic foxes affix quickly warhorses. fluff",437155,O,265955.77,872812800.0,2-HIGH,Clerk#000000460,0,77515,23,3,47,70147.97,0.03,0.01,N,O,881452800.0,878256000.0,882403200.0,DELIVER IN PERSON,TRUCK,2104.4391,68043.5309,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
2341,Customer#000002341,UonGegT5bu3EOPNPSvA9L5RkmL,15,25-972-456-8875,3324.85,AUTOMOBILE, final pinto beans. furiously special instruc,328934,F,108560.82,762307200.0,5-LOW,Clerk#000000344,0,68029,536,2,4,3988.08,0.01,0.01,R,F,767923200.0,767491200.0,770256000.0,TAKE BACK RETURN,AIR,39.8808,3948.1992,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
11078,Customer#000011078,Q5lNIDTF0Xd8XYjiLaUJTzcSB,15,25-972-725-2517,4704.68,FURNITURE,structions use slyly even requests. carefully regular deposits cajole f,156833,O,106952.18,845337600.0,2-HIGH,Clerk#000000635,0,110973,974,4,3,5951.91,0.06,0.0,N,O,852854400.0,852422400.0,853632000.0,DELIVER IN PERSON,FOB,357.1146,5594.7954,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
7688,Customer#000007688,"zFYF2dcHCwzES5nqiZo6FOhd89Di,m3XCP6",15,25-425-632-1820,8590.86,BUILDING,nt accounts: slyly silent requests integrate slyly. quickly busy requests wake carefully after t,596578,O,236228.86,824256000.0,2-HIGH,Clerk#000000938,0,75690,705,6,19,31648.11,0.07,0.04,N,O,834710400.0,830908800.0,837216000.0,NONE,SHIP,2215.3677,29432.7423,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
6971,Customer#000006971,OMyW3Rc1F9r9ixU,15,25-797-318-1684,1906.06,MACHINERY,ts. carefully even excuses mold blithely carefully final foxes. furiously unusual accounts sleep carefully above ,216545,O,248835.74,823996800.0,1-URGENT,Clerk#000000967,0,147592,107,1,31,50827.29,0.04,0.06,N,O,829526400.0,829267200.0,830304000.0,NONE,MAIL,2033.0916,48794.1984,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
3670,Customer#000003670,1w4 UqpOpKOok8xLUVxfP8iOk4S,15,25-896-597-5331,71.04,BUILDING, dependencies ought to are. slyly bold excuses haggle thinly. sly excuses sleep! even pains should have to h,8224,F,106308.98,697507200.0,4-NOT SPECIFIED,Clerk#000000811,0,125454,479,1,2,2958.9,0.02,0.03,A,F,698112000.0,700444800.0,700531200.0,NONE,FOB,59.178,2899.722,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
11263,Customer#000011263,S4K2twXxoUDBkVoc2FTWAhy,15,25-998-468-1758,273.34,FURNITURE,ously ironic deposits serve daringly fluffily ex,545475,O,108391.74,827884800.0,3-MEDIUM,Clerk#000000349,0,185171,208,2,41,51502.97,0.06,0.02,N,O,830217600.0,831859200.0,831427200.0,COLLECT COD,MAIL,3090.1782,48412.7918,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
4402,Customer#000004402,"9otHUgjHmaIwMbdTt,Re1Q",15,25-590-473-9760,7978.88,MACHINERY,iously special dependencies maintain carefully along the requests. acco,194498,O,224849.09,866419200.0,1-URGENT,Clerk#000000923,0,68160,667,3,2,2256.32,0.08,0.07,N,O,873763200.0,872726400.0,874627200.0,COLLECT COD,SHIP,180.5056,2075.8144,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
6196,Customer#000006196,KNWdwsj7hGyO0lrvqr6G1o,15,25-200-325-2383,4462.11,BUILDING,c courts. final instructions a,381990,F,199103.22,772070400.0,4-NOT SPECIFIED,Clerk#000000283,0,160297,298,1,7,9501.03,0.08,0.05,A,F,773280000.0,776908800.0,773452800.0,COLLECT COD,SHIP,760.0824000000001,8740.947600000001,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
253,Customer#000000253,naGyIRPFPH E,15,25-461-140-9884,9139.52,AUTOMOBILE, regular deposits sleep against the accounts. foxes cajole carefully special ,386594,O,206488.64,881539200.0,2-HIGH,Clerk#000000518,0,182526,81,1,47,75600.44,0.05,0.08,N,O,886377600.0,887846400.0,887328000.0,DELIVER IN PERSON,REG AIR,3780.022,71820.418,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
9475,Customer#000009475,zmIEQ7HW4sh,15,25-589-824-8180,4315.67,BUILDING,dependencies cajole regular requests. furiously even,454819,F,215760.99,788313600.0,2-HIGH,Clerk#000000950,0,175642,677,5,34,58399.76,0.06,0.03,R,F,795312000.0,795830400.0,796348800.0,NONE,SHIP,3503.9856,54895.7744,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
2797,Customer#000002797,"tECouqROjjaajlSkRfqVKN,S2Xj",15,25-381-574-3168,6242.97,FURNITURE,"nal instructions around the furiously express foxes haggle along the unusual, regular account",157767,F,72189.84,705801600.0,1-URGENT,Clerk#000000688,0,2561,62,1,2,2927.12,0.04,0.0,R,F,707961600.0,712540800.0,708480000.0,NONE,SHIP,117.0848,2810.0352,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
10087,Customer#000010087,"DpTCGhFecRg2Yt5nXl7Y7Rtjjh9E2tE7,2x",15,25-538-938-5794,651.27,AUTOMOBILE, express accounts according to the ironic pinto bean,125089,F,162640.31,739238400.0,3-MEDIUM,Clerk#000000585,0,2994,495,1,41,77776.59,0.04,0.04,R,F,741571200.0,746928000.0,742348800.0,NONE,RAIL,3111.0636,74665.52639999999,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
11555,Customer#000011555,"vj2cC0,9M9s",15,25-691-505-4732,6166.02,AUTOMOBILE,"tions. unusual, ironic asymptotes alongside of the deposits snooze fluffily even",201058,O,130060.26,882057600.0,4-NOT SPECIFIED,Clerk#000000568,0,167725,242,1,24,43025.28,0.02,0.01,N,O,890092800.0,889056000.0,892339200.0,TAKE BACK RETURN,AIR,860.5056,42164.7744,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
296,Customer#000000296,4eyqk2zpg4m V JGEtgwNmCq3c,15,25-875-178-1959,8081.52,BUILDING,"es need to affix furiously. ironic, final foxes are against the regular instructions: pinto beans haggle q",342529,F,171721.8,750211200.0,1-URGENT,Clerk#000000169,0,33034,544,2,27,26109.81,0.04,0.06,R,F,757382400.0,753235200.0,759542400.0,COLLECT COD,RAIL,1044.3924000000002,25065.4176,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
296,Customer#000000296,4eyqk2zpg4m V JGEtgwNmCq3c,15,25-875-178-1959,8081.52,BUILDING,"es need to affix furiously. ironic, final foxes are against the regular instructions: pinto beans haggle q",342529,F,171721.8,750211200.0,1-URGENT,Clerk#000000169,0,147729,244,6,3,5330.16,0.07,0.01,A,F,760492800.0,757987200.0,761184000.0,DELIVER IN PERSON,FOB,373.11120000000005,4957.0488,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
12182,Customer#000012182,vMByZV0dPMYuB54YB6Yqb,15,25-855-438-2954,24.15,FURNITURE,st quickly above the pending requests. blithely express accounts across the fluffily final pearls are rut,447264,F,168527.42,777081600.0,3-MEDIUM,Clerk#000000579,0,167727,244,4,17,30510.24,0.05,0.08,R,F,781142400.0,780019200.0,781920000.0,NONE,SHIP,1525.5120000000002,28984.728,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
296,Customer#000000296,4eyqk2zpg4m V JGEtgwNmCq3c,15,25-875-178-1959,8081.52,BUILDING,"es need to affix furiously. ironic, final foxes are against the regular instructions: pinto beans haggle q",342529,F,171721.8,750211200.0,1-URGENT,Clerk#000000169,0,80793,794,7,8,14190.32,0.1,0.0,R,F,758160000.0,756518400.0,759974400.0,TAKE BACK RETURN,TRUCK,1419.0320000000002,12771.288,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
11263,Customer#000011263,S4K2twXxoUDBkVoc2FTWAhy,15,25-998-468-1758,273.34,FURNITURE,ously ironic deposits serve daringly fluffily ex,488231,F,293457.27,781574400.0,4-NOT SPECIFIED,Clerk#000000462,0,53031,547,3,50,49201.5,0.08,0.08,R,F,789868800.0,784771200.0,790300800.0,TAKE BACK RETURN,MAIL,3936.12,45265.380000000005,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
325,Customer#000000325,Z I43vl3ta3iYmjXNaSM d6Pe24ibjhdvPSi,15,25-823-702-9630,2377.34,HOUSEHOLD,nal foxes alongside of the always bold,551969,F,189657.19,778982400.0,3-MEDIUM,Clerk#000000484,0,40480,481,1,27,38352.96,0.07,0.03,A,F,785203200.0,785808000.0,786844800.0,DELIVER IN PERSON,FOB,2684.7072000000003,35668.252799999995,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
2351,Customer#000002351,y5NVwFw7SH2belZwOLXRE2yPeOPvn5v1u,15,25-760-656-3397,2157.36,MACHINERY,ans. slyly final deposits haggle. carefully special instruction,286401,F,219743.32,743990400.0,2-HIGH,Clerk#000000546,0,132565,105,3,38,60707.28,0.04,0.01,A,F,750816000.0,749088000.0,752457600.0,TAKE BACK RETURN,MAIL,2428.2912,58278.9888,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
12544,Customer#000012544,"JiM5J,5DjI3YV5Y lOXt6ryda0jQaEbRfN",15,25-861-635-9828,5238.23,HOUSEHOLD,ar instructions haggle blithely at the blithely ironic foxes! bold pinto beans nag furiously quietly expr,2438,F,331721.2,742694400.0,2-HIGH,Clerk#000000744,0,148426,941,6,23,33911.66,0.09,0.02,R,F,749865600.0,745545600.0,750729600.0,DELIVER IN PERSON,MAIL,3052.0494000000003,30859.610600000004,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
13775,Customer#000013775,0z8jl6VrEjGyO,15,25-170-624-5843,7861.6,FURNITURE,ronic packages. ironic asympto,320419,O,180527.62,847065600.0,5-LOW,Clerk#000000627,0,940,941,1,18,33136.92,0.1,0.03,N,O,855360000.0,850435200.0,856569600.0,TAKE BACK RETURN,REG AIR,3313.692,29823.228,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
14908,Customer#000014908,Am3y5BmsuMnS,15,25-545-644-2241,8939.44,MACHINERY, express pinto beans use slyly among the furiously special packag,354407,F,34358.23,764467200.0,1-URGENT,Clerk#000000029,0,98413,923,1,23,32462.43,0.02,0.08,R,F,774576000.0,767318400.0,775526400.0,DELIVER IN PERSON,MAIL,649.2486,31813.1814,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
12121,Customer#000012121,"BPiocYUIR,AZbhVvnswSuXqUDUVXi,0abX9OjGl",15,25-595-768-3226,2596.74,MACHINERY, bold dependencies nag furiously. carefully ironic dependencies wake furiously slyly special theodolites. fluf,570950,O,196480.17,884131200.0,5-LOW,Clerk#000000385,0,72987,509,4,27,52919.46,0.1,0.0,N,O,893808000.0,889574400.0,895104000.0,DELIVER IN PERSON,REG AIR,5291.946,47627.514,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
7564,Customer#000007564,c8weXiX3n4kt7c4vPwV9,15,25-916-467-5854,1352.39,BUILDING,es above the carefully final deposits cajole slyly against the,175652,F,129362.0,767145600.0,3-MEDIUM,Clerk#000000094,0,165725,758,1,49,87745.28,0.02,0.05,R,F,774748800.0,774403200.0,777081600.0,DELIVER IN PERSON,MAIL,1754.9056,85990.3744,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
11740,Customer#000011740,"1,0YUej d6G7KSkJk6STpIFtd",15,25-309-900-7121,4736.96,BUILDING,ssly regular accounts around the express accounts,557860,O,235154.0,878774400.0,2-HIGH,Clerk#000000480,0,75582,597,2,27,42054.66,0.07,0.01,N,O,887155200.0,885859200.0,888624000.0,COLLECT COD,REG AIR,2943.8262000000004,39110.8338,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
1256,Customer#000001256,"sNx4HcJ35paZik,IN02G7p",15,25-306-342-4782,5012.07,MACHINERY,integrate carefully. blithely e,571936,F,425395.37,710640000.0,5-LOW,Clerk#000000222,0,30832,833,5,40,70513.2,0.04,0.05,R,F,721094400.0,713404800.0,721612800.0,COLLECT COD,SHIP,2820.528,67692.67199999999,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
2956,Customer#000002956,"cTaJAqxDF,SJqSk2l6dAY5VTilR",15,25-286-818-7068,7048.48,AUTOMOBILE,s about the theodolites sleep furiously quickly regular instructions. f,107779,F,190200.25,786931200.0,1-URGENT,Clerk#000000253,0,22968,475,6,4,7563.84,0.08,0.06,R,F,790992000.0,794361600.0,792460800.0,COLLECT COD,SHIP,605.1072,6958.732800000001,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
13010,Customer#000013010,vwIVw8IH4q52YS7BTDXR,15,25-522-561-9790,3587.67,FURNITURE,"riously! carefully fluffy dependencies along the unusual deposits use along the bold, pending ",519239,F,268556.25,775094400.0,4-NOT SPECIFIED,Clerk#000000894,0,322,323,6,5,6111.6,0.09,0.01,R,F,776131200.0,779846400.0,778377600.0,COLLECT COD,TRUCK,550.044,5561.5560000000005,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
4417,Customer#000004417,UvCtbF2 KefWMxHdTUYqEejFRQtEvu,15,25-375-681-5819,5295.32,AUTOMOBILE,ongside of the slyly final packages. ironic gifts use. packages against,423109,O,114138.99,820022400.0,2-HIGH,Clerk#000000470,0,155210,241,3,8,10121.68,0.08,0.06,N,O,821923200.0,823651200.0,823651200.0,NONE,AIR,809.7344,9311.9456,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
13117,Customer#000013117,yVUl2fTSr6LMcK1eMo4i0Nx4ZLmf3,15,25-290-348-5793,5387.95,AUTOMOBILE,"ly ironic deposits haggle. final, ironic platelets hinder across the fur",393602,F,108983.44,753494400.0,2-HIGH,Clerk#000000887,0,23298,805,3,12,14655.48,0.07,0.01,R,F,754444800.0,757036800.0,756691200.0,COLLECT COD,SHIP,1025.8836,13629.5964,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
7639,Customer#000007639,"oE oPO5I,wukcqUM4jpd3T6wJDPAIM4nuCW",15,25-338-633-5225,-544.01,BUILDING,furiously unusual platelets along the quickly ironic fo,366118,F,271165.98,700358400.0,2-HIGH,Clerk#000000628,0,52702,218,2,44,72806.8,0.06,0.05,R,F,701654400.0,706752000.0,703641600.0,DELIVER IN PERSON,SHIP,4368.408,68438.39199999999,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
